product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm
toys,1575.0,26.0,21.0,23.0
toys,10250.0,35.0,50.0,35.0
toys,200.0,25.0,7.0,16.0
toys,2100.0,30.0,24.0,25.0
toys,4338.0,17.0,12.0,14.0
stationery,1500.0,60.0,20.0,29.0
toys,200.0,16.0,7.0,11.0
toys,1500.0,30.0,22.0,30.0
computers_accessories,200.0,20.0,15.0,15.0
toys,9200.0,53.0,52.0,17.0
toys,300.0,16.0,8.0,11.0
toys,200.0,16.0,16.0,16.0
computers_accessories,300.0,22.0,5.0,16.0
toys,300.0,16.0,9.0,11.0
toys,700.0,60.0,7.0,11.0
toys,4100.0,20.0,15.0,13.0
perfumery,100.0,20.0,15.0,15.0
health_beauty,250.0,22.0,10.0,18.0
toys,1200.0,30.0,30.0,30.0
toys,517.0,39.0,11.0,13.0
toys,250.0,16.0,11.0,11.0
toys,887.0,30.0,22.0,20.0
toys,2600.0,36.0,13.0,36.0
toys,700.0,16.0,17.0,16.0
toys,513.0,19.0,15.0,18.0
toys,1000.0,53.0,8.0,18.0
furniture_decor,7300.0,30.0,20.0,70.0
sports_leisure,13500.0,70.0,30.0,40.0
toys,480.0,18.0,11.0,14.0
sports_leisure,400.0,70.0,10.0,20.0
computers_accessories,207.0,19.0,11.0,14.0
toys,800.0,39.0,12.0,17.0
telephony,100.0,19.0,3.0,11.0
toys,2300.0,98.0,12.0,20.0
home_construction,1050.0,16.0,20.0,16.0
toys,14300.0,45.0,15.0,35.0
toys,6900.0,74.0,13.0,52.0
toys,650.0,20.0,8.0,14.0
sports_leisure,900.0,50.0,6.0,20.0
toys,11500.0,20.0,50.0,28.0
toys,575.0,26.0,20.0,32.0
toys,1300.0,30.0,40.0,30.0
,200.0,16.0,2.0,11.0
housewares,6100.0,20.0,30.0,15.0
toys,2600.0,50.0,10.0,30.0
toys,1825.0,53.0,10.0,40.0
toys,7800.0,18.0,18.0,18.0
toys,900.0,25.0,25.0,25.0
toys,400.0,18.0,12.0,15.0
toys,1000.0,20.0,12.0,21.0
toys,4050.0,22.0,37.0,37.0
toys,900.0,32.0,17.0,25.0
toys,825.0,60.0,8.0,33.0
toys,1100.0,36.0,20.0,20.0
toys,400.0,30.0,15.0,15.0
toys,300.0,16.0,10.0,16.0
toys,5700.0,42.0,21.0,36.0
toys,1500.0,16.0,8.0,16.0
toys,400.0,34.0,4.0,22.0
toys,600.0,30.0,12.0,12.0
toys,450.0,40.0,4.0,30.0
toys,1350.0,45.0,10.0,55.0
sports_leisure,150.0,16.0,16.0,11.0
toys,525.0,25.0,10.0,35.0
toys,975.0,37.0,31.0,17.0
toys,2800.0,40.0,8.0,40.0
toys,1250.0,49.0,10.0,34.0
toys,1200.0,28.0,5.0,18.0
office_furniture,16133.0,63.0,59.0,25.0
toys,300.0,35.0,5.0,25.0
toys,1000.0,53.0,8.0,18.0
toys,150.0,17.0,8.0,14.0
electronics,600.0,16.0,11.0,11.0
toys,1310.0,60.0,12.0,24.0
toys,100.0,25.0,7.0,16.0
toys,1550.0,30.0,22.0,30.0
toys,125.0,16.0,12.0,14.0
toys,1900.0,105.0,15.0,15.0
toys,1850.0,45.0,12.0,45.0
auto,5950.0,65.0,11.0,65.0
toys,16750.0,63.0,58.0,26.0
furniture_decor,650.0,25.0,25.0,25.0
toys,1700.0,20.0,24.0,30.0
perfumery,250.0,20.0,8.0,21.0
toys,1100.0,30.0,20.0,20.0
toys,1550.0,30.0,22.0,30.0
toys,1550.0,30.0,22.0,30.0
toys,650.0,16.0,10.0,16.0
bed_bath_table,2250.0,42.0,16.0,36.0
toys,2467.0,38.0,15.0,24.0
toys,3950.0,43.0,15.0,32.0
toys,5350.0,52.0,6.0,52.0
toys,200.0,16.0,7.0,11.0
bed_bath_table,1100.0,50.0,12.0,12.0
toys,4105.0,67.0,10.0,67.0
furniture_decor,500.0,68.0,8.0,13.0
toys,450.0,17.0,8.0,12.0
office_furniture,11880.0,50.0,60.0,27.0
housewares,1050.0,30.0,30.0,30.0
toys,1000.0,42.0,42.0,14.0
cool_stuff,1600.0,42.0,25.0,15.0
toys,321.0,19.0,14.0,13.0
toys,550.0,21.0,12.0,20.0
toys,300.0,16.0,8.0,11.0
toys,1600.0,20.0,60.0,20.0
toys,533.0,22.0,11.0,20.0
toys,2600.0,50.0,10.0,30.0
toys,900.0,33.0,9.0,38.0
toys,1300.0,25.0,25.0,35.0
toys,200.0,16.0,2.0,11.0
toys,1867.0,36.0,6.0,36.0
toys,1000.0,40.0,40.0,30.0
toys,200.0,20.0,10.0,15.0
toys,4300.0,50.0,20.0,20.0
toys,5000.0,40.0,10.0,40.0
toys,15600.0,35.0,46.0,35.0
toys,9800.0,65.0,20.0,45.0
housewares,800.0,16.0,11.0,18.0
toys,300.0,16.0,2.0,20.0
toys,27000.0,105.0,18.0,35.0
toys,1000.0,53.0,8.0,18.0
toys,1350.0,27.0,9.0,18.0
bed_bath_table,1500.0,40.0,15.0,32.0
auto,16900.0,40.0,30.0,30.0
toys,117.0,18.0,6.0,12.0
industry_commerce_and_business,7225.0,16.0,103.0,25.0
toys,1400.0,27.0,10.0,17.0
bed_bath_table,550.0,16.0,10.0,16.0
toys,4850.0,30.0,30.0,20.0
toys,850.0,38.0,10.0,38.0
toys,1383.0,50.0,10.0,40.0
toys,350.0,19.0,12.0,13.0
toys,450.0,16.0,10.0,16.0
market_place,250.0,18.0,8.0,18.0
food_drink,200.0,20.0,12.0,15.0
baby,300.0,42.0,25.0,15.0
market_place,1300.0,33.0,6.0,22.0
toys,400.0,20.0,15.0,15.0
toys,3700.0,20.0,38.0,58.0
toys,150.0,16.0,5.0,20.0
toys,1250.0,26.0,20.0,15.0
computers_accessories,300.0,16.0,8.0,12.0
toys,900.0,25.0,9.0,23.0
toys,180.0,17.0,10.0,13.0
toys,350.0,19.0,11.0,15.0
office_furniture,16800.0,63.0,58.0,24.0
toys,4350.0,18.0,33.0,39.0
toys,2600.0,17.0,17.0,60.0
computers_accessories,140.0,22.0,14.0,14.0
toys,300.0,20.0,12.0,25.0
toys,617.0,26.0,14.0,18.0
toys,533.0,22.0,11.0,20.0
toys,150.0,24.0,4.0,14.0
toys,150.0,23.0,8.0,12.0
toys,1100.0,22.0,27.0,22.0
drinks,325.0,17.0,14.0,14.0
toys,4550.0,30.0,10.0,17.0
toys,350.0,19.0,12.0,13.0
toys,200.0,16.0,2.0,20.0
toys,700.0,100.0,5.0,20.0
toys,5200.0,37.0,20.0,34.0
toys,750.0,35.0,20.0,20.0
toys,4450.0,16.0,29.0,23.0
toys,100.0,25.0,4.0,15.0
toys,6400.0,30.0,30.0,30.0
bed_bath_table,1100.0,50.0,12.0,12.0
office_furniture,13475.0,53.0,65.0,32.0
sports_leisure,3675.0,38.0,29.0,28.0
toys,300.0,40.0,10.0,25.0
toys,600.0,17.0,17.0,17.0
toys,1550.0,38.0,10.0,38.0
toys,150.0,21.0,9.0,14.0
toys,150.0,16.0,6.0,11.0
housewares,600.0,16.0,25.0,11.0
health_beauty,200.0,22.0,10.0,18.0
toys,617.0,17.0,14.0,15.0
toys,600.0,17.0,7.0,12.0
toys,333.0,17.0,16.0,16.0
toys,100.0,19.0,3.0,11.0
toys,200.0,18.0,7.0,12.0
toys,1850.0,34.0,5.0,34.0
sports_leisure,3650.0,60.0,15.0,15.0
auto,5950.0,65.0,11.0,65.0
bed_bath_table,400.0,26.0,18.0,23.0
toys,1050.0,35.0,18.0,35.0
telephony,325.0,40.0,10.0,11.0
toys,5950.0,20.0,20.0,20.0
toys,250.0,16.0,16.0,16.0
toys,1825.0,53.0,10.0,40.0
toys,200.0,35.0,2.0,25.0
toys,150.0,17.0,8.0,14.0
housewares,727.0,21.0,19.0,22.0
toys,50.0,16.0,16.0,17.0
toys,1582.0,31.0,31.0,35.0
health_beauty,600.0,33.0,19.0,13.0
toys,2800.0,43.0,5.0,30.0
toys,500.0,23.0,16.0,18.0
toys,547.0,22.0,13.0,21.0
watches_gifts,50.0,16.0,8.0,16.0
toys,450.0,16.0,15.0,11.0
toys,2800.0,35.0,12.0,30.0
toys,1093.0,20.0,14.0,18.0
toys,250.0,16.0,16.0,12.0
toys,875.0,35.0,14.0,14.0
agro_industry_and_commerce,125.0,20.0,4.0,13.0
toys,400.0,16.0,4.0,11.0
housewares,550.0,16.0,12.0,15.0
baby,13700.0,55.0,30.0,55.0
toys,300.0,16.0,5.0,11.0
toys,1800.0,38.0,10.0,38.0
toys,300.0,45.0,15.0,35.0
toys,100.0,17.0,5.0,19.0
computers_accessories,180.0,16.0,9.0,16.0
toys,950.0,35.0,6.0,45.0
toys,1300.0,29.0,8.0,34.0
toys,200.0,19.0,9.0,12.0
watches_gifts,250.0,16.0,2.0,20.0
signaling_and_security,575.0,19.0,16.0,18.0
toys,5400.0,50.0,40.0,40.0
baby,100.0,16.0,8.0,11.0
toys,4750.0,60.0,20.0,50.0
toys,350.0,23.0,7.0,15.0
toys,1200.0,19.0,19.0,16.0
toys,900.0,40.0,8.0,40.0
sports_leisure,3450.0,16.0,15.0,20.0
toys,150.0,20.0,10.0,15.0
toys,50.0,19.0,3.0,11.0
bed_bath_table,1050.0,35.0,10.0,45.0
toys,900.0,30.0,4.0,20.0
toys,1050.0,36.0,24.0,22.0
toys,1300.0,30.0,30.0,35.0
toys,13100.0,37.0,50.0,37.0
toys,1550.0,40.0,20.0,20.0
toys,1050.0,42.0,25.0,15.0
toys,100.0,18.0,6.0,11.0
garden_tools,1650.0,30.0,22.0,30.0
toys,10075.0,55.0,64.0,26.0
toys,1800.0,30.0,50.0,30.0
toys,7800.0,16.0,105.0,30.0
bed_bath_table,250.0,16.0,22.0,11.0
toys,600.0,16.0,2.0,11.0
toys,200.0,41.0,2.0,29.0
toys,5417.0,47.0,44.0,44.0
toys,100.0,30.0,30.0,20.0
toys,213.0,14.0,9.0,13.0
toys,350.0,40.0,4.0,30.0
toys,1650.0,30.0,20.0,30.0
toys,800.0,17.0,28.0,11.0
consoles_games,700.0,20.0,15.0,20.0
toys,250.0,20.0,20.0,20.0
toys,150.0,35.0,2.0,26.0
furniture_decor,700.0,35.0,4.0,30.0
toys,750.0,30.0,30.0,11.0
toys,2300.0,16.0,32.0,11.0
auto,2450.0,30.0,30.0,30.0
toys,7150.0,47.0,26.0,35.0
toys,1075.0,39.0,6.0,26.0
toys,3900.0,53.0,13.0,53.0
toys,650.0,25.0,25.0,25.0
toys,400.0,30.0,10.0,30.0
toys,350.0,19.0,12.0,13.0
toys,1100.0,41.0,9.0,31.0
toys,850.0,20.0,25.0,20.0
toys,250.0,16.0,2.0,20.0
bed_bath_table,350.0,16.0,10.0,16.0
toys,188.0,16.0,11.0,12.0
toys,550.0,46.0,3.0,21.0
toys,2500.0,60.0,12.0,20.0
fashion_bags_accessories,100.0,16.0,16.0,16.0
toys,350.0,54.0,27.0,39.0
toys,500.0,30.0,42.0,20.0
toys,100.0,16.0,4.0,16.0
health_beauty,1200.0,21.0,13.0,19.0
toys,1200.0,40.0,31.0,31.0
toys,7900.0,25.0,60.0,25.0
computers_accessories,400.0,28.0,6.0,13.0
toys,560.0,19.0,13.0,17.0
toys,396.0,18.0,11.0,14.0
toys,183.0,17.0,4.0,12.0
toys,167.0,21.0,10.0,12.0
sports_leisure,275.0,24.0,8.0,12.0
toys,1100.0,16.0,10.0,16.0
toys,800.0,16.0,20.0,28.0
health_beauty,527.0,18.0,16.0,13.0
auto,2800.0,16.0,2.0,11.0
toys,400.0,16.0,16.0,16.0
toys,200.0,16.0,14.0,12.0
toys,175.0,23.0,21.0,21.0
health_beauty,200.0,16.0,4.0,16.0
baby,550.0,50.0,10.0,50.0
toys,9350.0,70.0,15.0,33.0
toys,550.0,20.0,20.0,20.0
toys,525.0,16.0,16.0,18.0
toys,200.0,16.0,4.0,13.0
housewares,550.0,16.0,12.0,12.0
toys,350.0,20.0,10.0,15.0
cool_stuff,2035.0,27.0,13.0,15.0
toys,1000.0,53.0,8.0,18.0
toys,431.0,20.0,11.0,13.0
toys,650.0,26.0,17.0,21.0
furniture_decor,650.0,68.0,8.0,13.0
toys,3250.0,36.0,10.0,35.0
toys,650.0,30.0,35.0,30.0
toys,250.0,16.0,5.0,15.0
toys,369.0,15.0,13.0,13.0
toys,683.0,35.0,14.0,21.0
toys,250.0,16.0,16.0,16.0
furniture_decor,600.0,52.0,11.0,11.0
housewares,350.0,22.0,8.0,19.0
health_beauty,1925.0,37.0,6.0,37.0
toys,335.0,17.0,11.0,16.0
toys,260.0,21.0,16.0,20.0
toys,6400.0,34.0,22.0,50.0
bed_bath_table,650.0,30.0,8.0,25.0
toys,1383.0,50.0,10.0,40.0
toys,600.0,20.0,20.0,20.0
housewares,400.0,20.0,30.0,16.0
toys,650.0,16.0,10.0,16.0
toys,750.0,32.0,9.0,24.0
toys,375.0,16.0,13.0,15.0
toys,1000.0,53.0,8.0,18.0
computers_accessories,200.0,20.0,10.0,15.0
toys,900.0,25.0,12.0,38.0
toys,500.0,18.0,6.0,21.0
toys,5450.0,16.0,65.0,25.0
computers_accessories,496.0,36.0,13.0,35.0
toys,350.0,25.0,15.0,25.0
toys,100.0,16.0,4.0,11.0
toys,14950.0,77.0,20.0,53.0
telephony,300.0,17.0,4.0,12.0
toys,950.0,20.0,35.0,20.0
toys,250.0,16.0,5.0,15.0
toys,200.0,51.0,15.0,15.0
consoles_games,350.0,20.0,20.0,20.0
toys,150.0,35.0,2.0,25.0
toys,575.0,30.0,11.0,17.0
toys,1400.0,20.0,20.0,20.0
toys,725.0,31.0,7.0,31.0
toys,177.0,20.0,20.0,20.0
toys,3000.0,30.0,30.0,20.0
toys,400.0,17.0,4.0,17.0
sports_leisure,7400.0,49.0,22.0,41.0
toys,533.0,22.0,11.0,20.0
toys,150.0,19.0,12.0,16.0
toys,425.0,17.0,11.0,14.0
toys,400.0,21.0,16.0,16.0
toys,7500.0,61.0,11.0,46.0
toys,4105.0,67.0,10.0,67.0
toys,4100.0,16.0,10.0,16.0
toys,1200.0,30.0,23.0,30.0
toys,1500.0,37.0,23.0,35.0
food,500.0,23.0,23.0,17.0
toys,10850.0,60.0,10.0,40.0
toys,8800.0,33.0,28.0,20.0
toys,2000.0,35.0,10.0,50.0
toys,1200.0,22.0,13.0,16.0
toys,150.0,17.0,8.0,14.0
toys,150.0,18.0,9.0,11.0
toys,500.0,65.0,6.0,11.0
cool_stuff,5200.0,63.0,2.0,79.0
toys,4900.0,36.0,22.0,36.0
toys,950.0,20.0,35.0,20.0
toys,300.0,25.0,10.0,20.0
computers_accessories,173.0,18.0,13.0,12.0
toys,10200.0,30.0,30.0,40.0
toys,163.0,33.0,4.0,20.0
toys,100.0,20.0,20.0,20.0
toys,250.0,41.0,2.0,29.0
toys,1250.0,39.0,15.0,23.0
toys,300.0,18.0,7.0,12.0
pet_shop,1050.0,20.0,17.0,25.0
toys,214.0,15.0,7.0,13.0
toys,1100.0,37.0,12.0,22.0
health_beauty,500.0,19.0,17.0,15.0
toys,150.0,16.0,2.0,11.0
toys,150.0,24.0,17.0,17.0
toys,11200.0,93.0,2.0,98.0
bed_bath_table,500.0,16.0,10.0,16.0
perfumery,350.0,20.0,10.0,18.0
toys,1250.0,45.0,10.0,15.0
toys,2600.0,50.0,10.0,30.0
toys,1700.0,65.0,6.0,48.0
toys,998.0,27.0,13.0,24.0
toys,1500.0,33.0,25.0,11.0
toys,650.0,20.0,20.0,20.0
toys,6850.0,50.0,20.0,40.0
toys,475.0,19.0,15.0,15.0
toys,200.0,16.0,16.0,16.0
toys,100.0,31.0,6.0,31.0
toys,700.0,60.0,11.0,11.0
toys,3400.0,79.0,11.0,55.0
toys,23500.0,66.0,43.0,66.0
toys,1300.0,20.0,15.0,20.0
toys,200.0,16.0,11.0,11.0
toys,353.0,23.0,15.0,16.0
health_beauty,600.0,33.0,19.0,13.0
toys,600.0,16.0,2.0,11.0
toys,200.0,16.0,5.0,20.0
toys,275.0,18.0,4.0,12.0
toys,350.0,18.0,13.0,13.0
baby,213.0,17.0,8.0,12.0
toys,375.0,23.0,23.0,23.0
toys,267.0,19.0,18.0,17.0
toys,500.0,16.0,16.0,11.0
